avg_cpu_percent,avg_cpu_temp_c,avg_memory_mb,avg_power_watts,bots_failed,bots_successful,call_duration_config,energibridge_csv,energy_cpu_joules,energy_duration_s,energy_method,max_cpu_percent,max_power_watts,num_bots,platform,repeat,run_number,timeseries_file,timestamp,total_experiment_duration_s,total_net_recv_mb,total_net_sent_mb
7.51,42.32,9625.7,5.59,0,1,120,data/teams_1bot_r7_20260222_135813_energibridge.csv,765.1497,137.04,energibridge,76.58,19.85,1,teams,7,1,data/teams_1bot_r7_20260222_135813_timeseries.csv,20260222_135813,137.37,27.58,5.19
6.06,41.41,9341.2,5.3,0,1,120,data/meet_1bot_r6_20260222_140131_energibridge.csv,663.476,125.44,energibridge,81.69,20.12,1,meet,6,2,data/meet_1bot_r6_20260222_140131_timeseries.csv,20260222_140131,125.64,67.47,3.82
6.94,42.12,9568.4,5.53,0,1,120,data/meet_1bot_r3_20260222_140438_energibridge.csv,697.2845,126.64,energibridge,98.09,22.95,1,meet,3,3,data/meet_1bot_r3_20260222_140438_timeseries.csv,20260222_140438,126.86,68.11,3.48
6.41,41.47,9673.5,5.31,0,1,120,data/meet_1bot_r1_20260222_140745_energibridge.csv,665.6537,125.78,energibridge,84.87,20.33,1,meet,1,4,data/meet_1bot_r1_20260222_140745_timeseries.csv,20260222_140745,126.02,67.43,3.67
9.64,43.13,10151.0,5.82,0,1,120,data/meet_1bot_r8_20260222_141052_energibridge.csv,726.8081,125.32,energibridge,98.57,23.24,1,meet,8,5,data/meet_1bot_r8_20260222_141052_timeseries.csv,20260222_141052,125.63,67.43,3.44
6.38,41.02,10060.6,5.29,0,1,120,data/meet_1bot_r2_20260222_141358_energibridge.csv,662.2026,125.6,energibridge,89.48,20.9,1,meet,2,6,data/meet_1bot_r2_20260222_141358_timeseries.csv,20260222_141358,125.84,67.48,3.64
8.44,43.25,10637.1,5.96,0,1,120,data/teams_1bot_r2_20260222_141704_energibridge.csv,806.3102,135.7,energibridge,95.23,22.86,1,teams,2,7,data/teams_1bot_r2_20260222_141704_timeseries.csv,20260222_141704,135.87,91.83,3.01
7.94,42.14,10684.3,5.75,0,1,120,data/teams_1bot_r8_20260222_142020_energibridge.csv,781.5802,136.16,energibridge,82.43,19.62,1,teams,8,8,data/teams_1bot_r8_20260222_142020_timeseries.csv,20260222_142020,136.45,92.25,3.19
40.38,58.03,10747.5,14.32,1,0,120,data/teams_1bot_r6_20260222_142337_energibridge.csv,123.5244,8.55,energibridge,88.59,20.52,1,teams,6,9,data/teams_1bot_r6_20260222_142337_timeseries.csv,20260222_142337,8.76,19.63,0.51
7.87,43.77,10423.1,5.87,0,1,120,data/teams_1bot_r3_20260222_142446_energibridge.csv,795.1955,135.81,energibridge,85.99,24.55,1,teams,3,10,data/teams_1bot_r3_20260222_142446_timeseries.csv,20260222_142446,135.98,92.01,3.11
7.17,42.15,10247.5,5.71,0,1,120,data/teams_1bot_r5_20260222_142803_energibridge.csv,772.8402,135.72,energibridge,86.75,23.45,1,teams,5,11,data/teams_1bot_r5_20260222_142803_timeseries.csv,20260222_142803,135.99,91.84,3.09
6.3,41.04,10058.4,5.25,0,1,120,data/meet_1bot_r4_20260222_143119_energibridge.csv,656.4281,125.43,energibridge,78.38,20.86,1,meet,4,12,data/meet_1bot_r4_20260222_143119_timeseries.csv,20260222_143119,125.64,67.36,3.42
14.03,43.38,9992.9,6.66,1,0,120,data/meet_1bot_r7_20260222_143425_energibridge.csv,133.0795,19.88,energibridge,81.02,19.37,1,meet,7,13,data/meet_1bot_r7_20260222_143425_timeseries.csv,20260222_143425,20.06,54.25,3.66
6.88,41.37,10319.4,5.59,0,1,120,data/teams_1bot_r1_20260222_143546_energibridge.csv,758.1498,135.79,energibridge,78.32,26.25,1,teams,1,14,data/teams_1bot_r1_20260222_143546_timeseries.csv,20260222_143546,135.96,91.99,3.1
6.4,40.65,10195.1,5.27,0,1,120,data/meet_1bot_r5_20260222_143902_energibridge.csv,659.4948,125.38,energibridge,91.48,23.44,1,meet,5,15,data/meet_1bot_r5_20260222_143902_timeseries.csv,20260222_143902,125.63,67.41,3.44
7.22,41.31,10277.2,5.62,0,1,120,data/teams_1bot_r4_20260222_144208_energibridge.csv,761.994,135.7,energibridge,78.91,21.83,1,teams,4,16,data/teams_1bot_r4_20260222_144208_timeseries.csv,20260222_144208,135.86,91.89,3.08
